Player ID,X Location,Y Location,Total_Seconds_Remaining,Shot_Type_Encoded,Shot_Distance_Meters,Shot_Zone_Combined,Shot Made Flag
1885,-79,48,622,2,2.7432000000000003,2,1
201147,-230,13,490,3,7.010400000000001,6,0
203613,-3,8,9,2,0.0,1,1
448,11,9,403,2,0.3048,1,0
15,0,0,612,2,0.0,1,0
2039,-164,124,129,2,6.096,3,0
1889,0,0,462,2,0.0,1,0
980,-6,-5,315,2,0.0,1,1
201586,138,154,669,2,6.096,4,0
201587,129,31,425,2,3.9624,4,0
949,0,0,175,2,0.0,1,1
203145,-228,7,600,3,6.7056000000000004,6,1
694,-205,134,139,3,7.315200000000001,5,0
2124,72,25,188,2,2.1336,2,1
203953,1,183,455,2,5.486400000000001,4,0
446,-92,226,485,3,7.315200000000001,5,1
1717,123,222,61,3,7.62,5,0
202689,-106,63,523,2,3.6576000000000004,3,1
201959,176,-2,173,2,5.1816,4,0
202322,76,172,1,2,5.486400000000001,4,0
915,-221,-2,338,3,6.7056000000000004,6,0
200755,-114,160,461,2,5.7912,3,1
951,-77,137,700,2,4.572,2,0
202727,16,22,110,2,0.6096,1,0
101109,-17,6,547,2,0.3048,1,1
1749,56,169,561,2,5.1816,4,1
201959,-24,3,555,2,0.6096,1,0
2594,-44,255,211,3,7.62,5,0
101123,-168,175,526,3,7.315200000000001,5,1
203468,57,26,231,2,1.8288000000000002,2,0
203076,4,0,93,2,0.0,1,1
201959,-16,23,28,2,0.6096,1,0
2211,239,11,338,3,7.010400000000001,6,0
1628398,13,7,360,2,0.3048,1,0
417,-109,164,340,2,5.7912,3,1
2056,-141,-16,210,2,4.2672,3,0
1729,146,7,119,2,4.2672,4,1
201952,-6,204,247,2,6.096,4,1
2436,0,0,383,2,0.0,1,1
2109,189,38,192,2,5.7912,4,0
2422,0,0,49,2,0.0,1,0
147,105,146,606,2,5.1816,4,1
2863,133,12,566,2,3.9624,4,1
203114,113,44,472,2,3.6576000000000004,4,0
201566,0,151,384,2,4.572,4,1
202697,-242,-13,343,3,7.315200000000001,6,0
2548,158,100,235,2,5.486400000000001,4,0
89,223,61,377,3,7.010400000000001,6,1
1495,-153,25,344,2,4.572,3,0
2405,-122,165,160,2,6.096,3,0
201563,4,7,250,2,0.0,1,1
202388,159,225,1,3,8.2296,5,0
1956,236,-3,684,3,7.010400000000001,6,0
711,8,56,245,2,1.524,2,0
1886,-68,18,172,2,2.1336,2,1
2594,-29,246,353,3,7.315200000000001,5,1
1626156,168,221,446,3,8.2296,5,1
1628021,0,-6,224,2,0.0,1,0
2399,222,116,199,3,7.62,5,0
283,104,244,19,3,7.9248,5,0
202322,-235,-14,194,3,7.010400000000001,6,0
913,0,0,711,2,0.0,1,0
383,-187,105,532,2,6.4008,3,0
977,-182,171,201,3,7.315200000000001,5,0
201933,1,6,470,2,0.0,1,0
952,-149,216,411,3,7.9248,5,0
1627761,-158,11,306,2,4.572,3,0
2037,-36,46,195,2,1.524,2,1
1747,179,4,123,2,5.1816,4,0
201977,233,15,387,3,7.010400000000001,6,0
203901,34,129,201,2,3.9624,2,0
101112,0,0,83,2,0.0,1,0
1719,0,0,670,2,0.0,1,1
1629673,230,27,5,3,7.010400000000001,6,0
1889,3,4,386,2,0.0,1,1
202325,9,30,537,2,0.9144000000000001,1,0
1761,0,0,654,2,0.0,1,0
201160,-27,14,182,2,0.9144000000000001,1,1
1065,38,194,444,2,5.7912,4,0
1629060,150,209,365,3,7.62,5,0
934,-98,97,355,2,3.9624,3,1
2137,-43,163,685,2,4.8768,4,1
2047,-142,217,152,3,7.62,5,0
87,57,23,373,2,1.8288000000000002,2,1
467,111,162,182,2,5.7912,4,1
915,89,10,397,2,2.4384,4,0
